timestamp,worker_id,batch_size,duration_ms,total_rows_after_insert_approx
2025-05-21T20:20:13.776839,1,1000,18.51,1001000
2025-05-21T20:20:13.840359,1,1000,17.94,1003000
2025-05-21T20:20:13.906257,1,1000,23.90,1005000
2025-05-21T20:20:13.968575,1,1000,17.77,1007000
2025-05-21T20:20:14.026794,1,1000,17.55,1009000
2025-05-21T20:20:14.084879,1,1000,17.33,1011000
2025-05-21T20:20:14.143705,1,1000,17.33,1013000
2025-05-21T20:20:14.220381,1,1000,35.81,1015000
2025-05-21T20:20:14.291701,1,1000,20.23,1017000
2025-05-21T20:20:14.361701,1,1000,20.02,1019000
2025-05-21T20:20:14.431625,1,1000,19.26,1021000
2025-05-21T20:20:14.504545,1,1000,13.58,1023000
2025-05-21T20:20:14.574967,1,1000,19.44,1025000
2025-05-21T20:20:14.655153,1,1000,29.54,1027000
2025-05-21T20:20:14.711807,1,1000,18.37,1029000
2025-05-21T20:20:14.769069,1,1000,17.00,1031000
2025-05-21T20:20:14.822117,1,1000,11.59,1033000
2025-05-21T20:20:14.899072,1,1000,15.87,1035000
2025-05-21T20:20:14.977037,1,1000,11.61,1037000
2025-05-21T20:20:15.074799,1,1000,35.96,1039000
2025-05-21T20:20:15.135567,1,1000,16.54,1041000
2025-05-21T20:20:15.196264,1,1000,17.36,1043000
2025-05-21T20:20:15.254818,1,1000,16.17,1045000
2025-05-21T20:20:15.312240,1,1000,16.34,1047000
2025-05-21T20:20:15.373856,1,1000,21.10,1049000
2025-05-21T20:20:15.436690,1,1000,20.83,1051000
2025-05-21T20:20:15.495047,1,1000,17.58,1053000
2025-05-21T20:20:15.558437,1,1000,19.98,1055000
2025-05-21T20:20:15.619848,1,1000,19.51,1057000
2025-05-21T20:20:15.683150,1,1000,21.60,1059000
2025-05-21T20:20:15.745558,1,1000,21.73,1061000
2025-05-21T20:20:15.811544,1,1000,21.58,1063000
2025-05-21T20:20:15.874321,1,1000,23.85,1065000
2025-05-21T20:20:15.932338,1,1000,18.02,1067000
2025-05-21T20:20:15.988949,1,1000,11.84,1069000
2025-05-21T20:20:16.057106,1,1000,11.05,1071000
2025-05-21T20:20:16.127933,1,1000,11.30,1073000
2025-05-21T20:20:16.199466,1,1000,11.52,1075000
2025-05-21T20:20:16.291244,1,1000,32.34,1077000
2025-05-21T20:20:16.345827,1,1000,12.86,1079000
2025-05-21T20:20:16.414754,1,1000,12.11,1081000
2025-05-21T20:20:16.503216,1,1000,28.54,1083000
2025-05-21T20:20:16.581624,1,1000,34.84,1085000
2025-05-21T20:20:16.653003,1,1000,13.58,1087000
2025-05-21T20:20:16.710079,1,1000,18.24,1089000
2025-05-21T20:20:16.776272,1,1000,25.20,1091000
2025-05-21T20:20:16.833347,1,1000,18.36,1093000
2025-05-21T20:20:16.908194,1,1000,34.32,1095000
2025-05-21T20:20:16.976892,1,1000,19.00,1097000
2025-05-21T20:20:17.035457,1,1000,18.56,1099000
2025-05-21T20:20:17.087182,1,1000,11.85,1101000
2025-05-21T20:20:17.154882,1,1000,12.17,1103000
2025-05-21T20:20:17.226084,1,1000,11.84,1105000
2025-05-21T20:20:17.311755,1,1000,28.67,1107000
2025-05-21T20:20:17.374934,1,1000,18.47,1109000
2025-05-21T20:20:17.448268,1,1000,32.49,1111000
2025-05-21T20:20:17.518341,1,1000,19.72,1113000
2025-05-21T20:20:17.587042,1,1000,18.90,1115000
2025-05-21T20:20:17.643493,1,1000,17.27,1117000
2025-05-21T20:20:17.695049,1,1000,10.92,1119000
2025-05-21T20:20:17.763494,1,1000,10.72,1121000
2025-05-21T20:20:17.832972,1,1000,10.52,1123000
2025-05-21T20:20:17.933321,1,1000,41.30,1125000
2025-05-21T20:20:17.997007,1,1000,16.65,1127000
2025-05-21T20:20:18.065532,1,1000,23.61,1129000
2025-05-21T20:20:18.119616,1,1000,16.10,1131000
2025-05-21T20:20:18.176919,1,1000,16.33,1133000
2025-05-21T20:20:18.233389,1,1000,16.18,1135000
2025-05-21T20:20:18.292258,1,1000,18.32,1137000
2025-05-21T20:20:18.356606,1,1000,20.38,1139000
2025-05-21T20:20:18.411925,1,1000,16.58,1141000
2025-05-21T20:20:18.480707,1,1000,23.29,1143000
2025-05-21T20:20:18.548386,1,1000,21.91,1145000
2025-05-21T20:20:18.615431,1,1000,21.36,1147000
2025-05-21T20:20:18.682045,1,1000,20.77,1149000
2025-05-21T20:20:18.749585,1,1000,20.68,1151000
2025-05-21T20:20:18.832044,1,1000,36.48,1153000
2025-05-21T20:20:18.918603,1,1000,46.20,1155000
2025-05-21T20:20:19.001562,1,1000,26.98,1157000
2025-05-21T20:20:19.071621,1,1000,15.11,1159000
2025-05-21T20:20:19.137968,1,1000,26.46,1161000
2025-05-21T20:20:19.204894,1,1000,19.93,1163000
2025-05-21T20:20:19.272135,1,1000,26.72,1165000
2025-05-21T20:20:19.352524,1,1000,33.97,1167000
2025-05-21T20:20:19.414861,1,1000,22.53,1169000
2025-05-21T20:20:19.466928,1,1000,12.85,1171000
2025-05-21T20:20:19.542391,1,1000,17.40,1173000
2025-05-21T20:20:19.637140,1,1000,36.07,1175000
2025-05-21T20:20:19.709980,1,1000,33.39,1177000
2025-05-21T20:20:19.773191,1,1000,19.50,1179000
2025-05-21T20:20:19.825138,1,1000,12.53,1181000
2025-05-21T20:20:19.930597,1,1000,48.36,1183000
2025-05-21T20:20:20.001762,1,1000,13.20,1185000
2025-05-21T20:20:20.057928,1,1000,18.47,1187000
2025-05-21T20:20:20.121922,1,1000,19.03,1189000
2025-05-21T20:20:20.182975,1,1000,21.02,1191000
2025-05-21T20:20:20.241118,1,1000,18.74,1193000
2025-05-21T20:20:20.300440,1,1000,19.08,1195000
2025-05-21T20:20:20.359658,1,1000,19.59,1197000
2025-05-21T20:20:20.417955,1,1000,18.93,1199000
2025-05-21T20:20:20.479092,1,1000,20.62,1201000
2025-05-21T20:20:20.545645,1,1000,20.87,1203000
2025-05-21T20:20:20.625401,1,1000,32.62,1205000
2025-05-21T20:20:20.698413,1,1000,33.21,1207000
2025-05-21T20:20:20.771282,1,1000,33.04,1209000
2025-05-21T20:20:20.830076,1,1000,18.37,1211000
2025-05-21T20:20:20.893307,1,1000,21.21,1213000
2025-05-21T20:20:20.948128,1,1000,13.71,1215000
2025-05-21T20:20:21.030587,1,1000,26.71,1217000
2025-05-21T20:20:21.121417,1,1000,34.63,1219000
2025-05-21T20:20:21.188308,1,1000,27.10,1221000
2025-05-21T20:20:21.260656,1,1000,32.07,1223000
2025-05-21T20:20:21.330520,1,1000,19.35,1225000
2025-05-21T20:20:21.400369,1,1000,19.08,1227000
2025-05-21T20:20:21.487405,1,1000,37.30,1229000
2025-05-21T20:20:21.562887,1,1000,20.43,1231000
2025-05-21T20:20:21.637812,1,1000,19.40,1233000
2025-05-21T20:20:21.720917,1,1000,26.25,1235000
2025-05-21T20:20:21.818864,1,1000,41.26,1237000
2025-05-21T20:20:21.959035,1,1000,71.99,1240000
2025-05-21T20:20:22.020454,1,1000,16.94,1242000
2025-05-21T20:20:22.081363,1,1000,16.62,1244000
2025-05-21T20:20:22.139142,1,1000,16.89,1246000
2025-05-21T20:20:22.202036,1,1000,22.17,1248000
2025-05-21T20:20:22.260033,1,1000,19.06,1250000
2025-05-21T20:20:22.312498,1,1000,12.75,1252000
2025-05-21T20:20:22.397918,1,1000,26.28,1254000
2025-05-21T20:20:22.465370,1,1000,17.49,1256000
2025-05-21T20:20:22.546725,1,1000,21.01,1258000
2025-05-21T20:20:22.629197,1,1000,18.34,1260000
2025-05-21T20:20:22.705375,1,1000,14.09,1262000
2025-05-21T20:20:22.785782,1,1000,19.27,1264000
2025-05-21T20:20:22.867572,1,1000,20.88,1266000
2025-05-21T20:20:22.944740,1,1000,14.26,1268000
2025-05-21T20:20:23.024800,1,1000,15.11,1270000
2025-05-21T20:20:23.106581,1,1000,13.90,1272000
2025-05-21T20:20:23.189551,1,1000,17.54,1274000
2025-05-21T20:20:23.282695,1,1000,24.42,1276000
2025-05-21T20:20:23.369679,1,1000,23.30,1278000
2025-05-21T20:20:23.459160,1,1000,21.80,1280000
2025-05-21T20:20:23.546343,1,1000,21.89,1282000
2025-05-21T20:20:23.634435,1,1000,23.17,1284000
2025-05-21T20:20:23.726285,1,1000,23.44,1286000
